distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
exponential,41,10,10,4,34,,20,10,buy
exponential,43,10,14,21,36,,20,11,buy
uniform,154,100,20,29,103,,30,14,exchange
exponential,49,10,13,23,43,,20,12,buy
uniform,155,100,9,34,103,,30,15,exchange
exponential,59,10,4,6,51,,20,13,buy
exponential,62,10,5,25,57,,20,15,buy
exponential,1867,200,2,0,1668,,5,1,buy
exponential,4853,400,1,2,4454,,2,2,buy
exponential,71,10,12,14,64,,20,16,buy
uniform,157,100,29,14,103,,30,18,exchange
exponential,83,10,9,11,75,,20,17,buy
exponential,80,50,2,57,52,,50,1,buy
exponential,184,50,21,22,156,,30,10,exchange
exponential,108,10,17,9,102,,20,18,buy
uniform,159,100,25,22,103,,30,20,exchange
exponential,119,10,2,13,113,,20,19,buy
exponential,84,50,45,34,54,,50,2,exchange
exponential,1953,200,3,2,1754,,5,2,buy
exponential,84,50,18,27,52,,30,1,exchange
exponential,1971,200,0,8,1772,,5,3,buy
exponential,196,10,8,22,191,,20,20,buy
uniform,3857,700,1,2,3158,,2,1,buy
exponential,155,20,35,68,148,,50,37,buy
uniform,3857,700,1,2,3158,,2,1,buy
exponential,84,50,45,34,54,,50,2,exchange
exponential,89,50,11,28,63,,30,2,buy
uniform,170,100,16,29,117,,30,21,buy
uniform,173,100,4,28,112,,30,22,exchange
uniform,174,100,27,35,123,,30,24,exchange
uniform,176,100,26,20,123,,30,25,buy
exponential,162,20,40,56,153,,50,38,buy
exponential,97,50,3,41,78,,30,3,exchange
exponential,1103,100,8,9,1046,,10,9,buy
uniform,4573,700,0,0,3874,,2,2,buy
uniform,4573,700,0,0,3874,,2,2,buy
uniform,186,100,12,11,130,,30,26,buy
exponential,172,20,10,53,159,,50,39,buy
exponential,215,50,19,48,184,,30,11,buy
exponential,177,20,15,52,164,,50,40,buy
exponential,178,20,33,67,167,,50,41,buy
exponential,1867,200,2,0,1668,,5,1,buy
exponential,181,20,31,13,168,,50,42,buy
exponential,114,50,4,28,85,,30,4,buy
exponential,1953,200,3,2,1754,,5,2,buy
uniform,201,100,18,27,145,,30,27,exchange
exponential,1971,200,0,8,1772,,5,3,buy
uniform,111,100,10,41,63,,30,1,exchange
exponential,230,50,26,20,203,,30,12,buy
exponential,552,50,18,22,524,,20,17,buy
uniform,114,100,6,14,56,,30,3,exchange
exponential,240,50,24,34,211,,30,13,buy
uniform,119,100,7,30,62,,30,4,exchange
uniform,121,100,11,28,70,,30,5,buy
uniform,125,100,19,48,69,,30,8,exchange
exponential,3358,200,1,2,3159,,5,4,buy
exponential,137,50,8,39,114,,30,5,buy
uniform,128,100,21,22,67,,30,9,buy
exponential,255,50,10,41,224,,30,14,buy
exponential,217,20,47,35,207,,50,43,buy
exponential,141,50,2,15,113,,30,6,exchange
