distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
exponential,60,20,20,53,53,61,50,21,buy
exponential,687,50,4,2,649,688,10,9,buy
exponential,89,50,11,28,63,90,30,2,buy
uniform,130,100,7,17,82,131,20,3,exchange
exponential,346,10,25,22,338,347,30,30,buy
exponential,182,20,6,14,170,183,30,24,buy
exponential,102,10,13,51,96,103,50,40,buy
exponential,105,10,46,44,97,106,50,41,buy
exponential,64,20,34,56,53,65,50,22,buy
exponential,102,10,13,51,96,103,50,40,buy
exponential,201,20,13,15,188,202,30,25,buy
exponential,105,10,46,44,97,106,50,41,buy
uniform,140,100,5,25,85,141,20,4,exchange
uniform,142,100,13,23,91,143,20,5,exchange
exponential,350,100,7,9,290,351,10,2,exchange
exponential,97,50,3,41,78,98,30,3,exchange
exponential,112,10,42,66,107,113,50,42,buy
uniform,146,100,8,22,93,147,20,6,exchange
exponential,68,20,8,48,57,69,50,23,buy
exponential,360,100,5,14,304,361,10,3,exchange
exponential,112,10,42,66,107,113,50,42,buy
exponential,226,20,15,30,210,227,30,26,buy
exponential,229,20,24,34,214,230,30,27,buy
uniform,152,100,14,21,107,153,20,7,exchange
exponential,123,10,36,67,119,124,50,43,buy
uniform,807,100,6,1,725,808,10,10,buy
exponential,2192,100,3,2,2093,2193,5,5,buy
exponential,126,10,18,48,121,127,50,44,buy
exponential,242,20,9,34,233,243,30,28,buy
exponential,123,10,36,67,119,124,50,43,buy
exponential,399,100,4,2,324,400,10,4,buy
exponential,126,10,18,48,121,127,50,44,buy
uniform,162,100,0,26,111,163,20,8,exchange
uniform,807,100,6,1,725,808,10,10,buy
exponential,266,20,19,48,256,267,30,29,buy
exponential,78,20,23,44,66,79,50,24,buy
exponential,215,50,6,11,188,216,20,8,buy
exponential,144,10,23,44,138,145,50,45,buy
uniform,176,100,18,22,132,177,20,10,exchange
exponential,114,50,4,28,85,115,30,4,buy
exponential,144,10,23,44,138,145,50,45,buy
exponential,467,100,1,12,411,468,10,5,buy
exponential,85,20,41,55,72,86,50,26,buy
exponential,156,10,31,13,150,157,50,46,buy
exponential,1187,50,5,14,1158,1188,10,10,buy
uniform,191,100,12,14,136,192,20,11,exchange
exponential,156,10,31,13,150,157,50,46,buy
exponential,1187,50,5,14,1158,1188,10,10,buy
exponential,89,20,42,66,78,90,50,27,buy
exponential,92,20,21,66,82,93,50,28,buy
exponential,242,50,12,14,212,243,20,9,buy
exponential,172,10,11,34,167,173,50,47,buy
uniform,206,100,11,19,155,207,20,12,buy
uniform,111,100,10,41,63,112,30,1,exchange
exponential,95,20,45,34,84,96,50,29,buy
exponential,172,10,11,34,167,173,50,47,buy
exponential,537,100,0,9,487,538,10,6,buy
uniform,114,100,6,14,56,115,30,3,exchange
uniform,217,100,19,13,155,218,20,13,buy
exponential,190,10,12,49,186,191,50,48,buy
exponential,103,20,48,74,95,104,50,31,buy
uniform,119,100,7,30,62,120,30,4,exchange
exponential,190,10,12,49,186,191,50,48,buy
uniform,230,100,9,11,170,231,20,14,buy
exponential,106,20,46,44,95,107,50,32,buy
exponential,137,50,8,39,114,138,30,5,buy
uniform,121,100,11,28,70,122,30,5,buy
exponential,141,50,2,15,113,142,30,6,exchange
uniform,125,100,19,48,69,126,30,8,exchange
exponential,297,50,2,13,272,298,20,10,buy
exponential,116,20,1,66,107,117,50,33,buy
exponential,653,100,9,9,592,654,10,8,exchange
uniform,128,100,21,22,67,129,30,9,buy
exponential,222,10,49,67,216,223,50,49,buy
exponential,222,10,49,67,216,223,50,49,buy
exponential,231,10,3,35,225,232,50,50,buy
exponential,315,50,14,21,287,316,20,14,exchange
exponential,316,50,13,23,285,317,20,15,buy
exponential,151,50,20,29,119,152,30,7,buy
exponential,231,10,3,35,225,232,50,50,buy
exponential,489,20,26,20,478,490,30,30,buy
exponential,9,10,0,26,5,10,20,1,exchange
exponential,125,20,44,48,115,126,50,34,buy
exponential,1867,200,2,0,1668,1868,5,1,buy
exponential,13,10,16,13,6,14,20,2,exchange
exponential,15,10,7,17,8,16,20,3,buy
uniform,136,100,24,34,79,137,30,10,buy
exponential,126,20,36,67,112,127,50,35,buy
uniform,281,100,17,9,216,282,20,15,buy
exponential,23,10,18,22,17,24,20,5,exchange
exponential,25,10,15,16,19,26,20,7,exchange
exponential,30,10,11,19,22,31,20,8,buy
exponential,4458,400,0,0,4059,4459,2,1,buy
exponential,31,10,19,13,24,32,20,9,buy
exponential,41,10,10,4,34,42,20,10,buy
exponential,43,10,14,21,36,44,20,11,buy
uniform,139,100,2,15,84,140,30,11,exchange
exponential,49,10,13,23,43,50,20,12,buy
exponential,344,50,19,13,314,345,20,16,buy
exponential,59,10,4,6,51,60,20,13,buy
exponential,62,10,5,25,57,63,20,15,buy
uniform,296,100,15,16,242,297,20,16,buy
exponential,71,10,12,14,64,72,20,16,buy
exponential,1953,200,3,2,1754,1954,5,2,buy
exponential,83,10,9,11,75,84,20,17,buy
exponential,133,20,13,51,120,134,50,36,buy
exponential,1971,200,0,8,1772,1972,5,3,buy
exponential,108,10,17,9,102,109,20,18,buy
exponential,119,10,2,13,113,120,20,19,buy
exponential,4853,400,1,2,4454,4854,2,2,buy
exponential,196,10,8,22,191,197,20,20,buy
exponential,80,50,2,57,52,81,50,1,buy
exponential,80,50,2,57,52,81,50,1,buy
exponential,171,50,28,28,145,172,30,8,buy
exponential,84,50,18,27,52,85,30,1,exchange
uniform,153,100,5,26,99,154,30,13,exchange
uniform,3857,700,1,2,3158,3858,2,1,buy
uniform,154,100,20,29,103,155,30,14,exchange
uniform,341,100,16,13,294,342,20,17,buy
uniform,155,100,9,34,103,156,30,15,exchange
uniform,157,100,29,14,103,158,30,18,exchange
exponential,89,50,11,28,63,90,30,2,buy
uniform,159,100,25,22,103,160,30,20,exchange
exponential,84,50,45,34,54,85,50,2,exchange
exponential,155,20,35,68,148,156,50,37,buy
exponential,84,50,45,34,54,85,50,2,exchange
exponential,184,50,21,22,156,185,30,10,exchange
uniform,372,100,10,4,311,373,20,18,buy
exponential,97,50,3,41,78,98,30,3,exchange
uniform,375,100,4,6,324,376,20,19,buy
exponential,162,20,40,56,153,163,50,38,buy
uniform,4573,700,0,0,3874,4574,2,2,buy
uniform,170,100,16,29,117,171,30,21,buy
uniform,3857,700,1,2,3158,3858,2,1,buy
exponential,1103,100,8,9,1046,1104,10,9,buy
uniform,173,100,4,28,112,174,30,22,exchange
uniform,174,100,27,35,123,175,30,24,exchange
uniform,176,100,26,20,123,177,30,25,buy
exponential,172,20,10,53,159,173,50,39,buy
exponential,177,20,15,52,164,178,50,40,buy
exponential,178,20,33,67,167,179,50,41,buy
exponential,114,50,4,28,85,115,30,4,buy
uniform,4573,700,0,0,3874,4574,2,2,buy
exponential,181,20,31,13,168,182,50,42,buy
uniform,186,100,12,11,130,187,30,26,buy
exponential,1867,200,2,0,1668,1868,5,1,buy
uniform,111,100,10,41,63,112,30,1,exchange
exponential,552,50,18,22,524,553,20,17,buy
uniform,114,100,6,14,56,115,30,3,exchange
exponential,215,50,19,48,184,216,30,11,buy
exponential,1953,200,3,2,1754,1954,5,2,buy
exponential,1971,200,0,8,1772,1972,5,3,buy
uniform,201,100,18,27,145,202,30,27,exchange
uniform,119,100,7,30,62,120,30,4,exchange
uniform,121,100,11,28,70,122,30,5,buy
exponential,3358,200,1,2,3159,3359,5,4,buy
uniform,125,100,19,48,69,126,30,8,exchange
exponential,230,50,26,20,203,231,30,12,buy
uniform,128,100,21,22,67,129,30,9,buy
exponential,137,50,8,39,114,138,30,5,buy
exponential,3671,200,4,0,3472,3672,5,5,buy
exponential,141,50,2,15,113,142,30,6,exchange
exponential,217,20,47,35,207,218,50,43,buy
exponential,240,50,24,34,211,241,30,13,buy
uniform,136,100,24,34,79,137,30,10,buy
exponential,671,50,15,16,642,672,20,18,buy
exponential,223,20,29,35,210,224,50,44,buy
uniform,139,100,2,15,84,140,30,11,exchange
exponential,151,50,20,29,119,152,30,7,buy
exponential,235,20,43,63,225,236,50,45,buy
exponential,105,50,34,56,77,106,50,3,exchange
exponential,255,50,10,41,224,256,30,14,buy
exponential,105,50,34,56,77,106,50,3,exchange
uniform,153,100,5,26,99,154,30,13,exchange
uniform,154,100,20,29,103,155,30,14,exchange
exponential,248,20,27,53,236,249,50,46,buy
exponential,108,50,13,51,80,109,50,4,exchange
uniform,155,100,9,34,103,156,30,15,exchange
exponential,628,200,7,9,500,629,10,1,exchange
uniform,157,100,29,14,103,158,30,18,exchange
exponential,1819,100,6,1,1735,1820,10,10,buy
exponential,108,50,13,51,80,109,50,4,exchange
uniform,159,100,25,22,103,160,30,20,exchange
exponential,271,50,17,37,245,272,30,15,buy
exponential,171,50,28,28,145,172,30,8,buy
uniform,592,100,2,13,539,593,20,20,buy
exponential,793,50,9,11,758,794,20,19,buy
exponential,628,200,7,9,500,629,10,1,exchange
exponential,3358,200,1,2,3159,3359,5,4,buy
uniform,170,100,16,29,117,171,30,21,buy
exponential,113,50,0,71,83,114,50,5,exchange
exponential,113,50,0,71,83,114,50,5,exchange
exponential,184,50,21,22,156,185,30,10,exchange
uniform,173,100,4,28,112,174,30,22,exchange
exponential,275,20,26,52,265,276,50,47,buy
exponential,293,50,25,22,271,294,30,16,buy
uniform,174,100,27,35,123,175,30,24,exchange
uniform,176,100,26,20,123,177,30,25,buy
exponential,3671,200,4,0,3472,3672,5,5,buy
uniform,287,100,23,18,229,288,30,28,buy
exponential,685,200,5,14,583,686,10,2,buy
uniform,186,100,12,11,130,187,30,26,buy
uniform,108,100,15,52,52,109,50,1,buy
exponential,685,200,5,14,583,686,10,2,buy
uniform,108,100,15,52,52,109,50,1,buy
exponential,966,50,5,25,940,967,20,20,buy
exponential,316,50,9,34,290,317,30,17,buy
exponential,121,50,22,25,91,122,50,6,exchange
exponential,721,200,9,9,599,722,10,3,exchange
uniform,111,100,4,65,56,112,50,2,exchange
exponential,322,20,7,61,313,323,50,48,buy
uniform,201,100,18,27,145,202,30,27,exchange
exponential,323,20,11,34,313,324,50,49,buy
exponential,121,50,22,25,91,122,50,6,exchange
uniform,111,100,4,65,56,112,50,2,exchange
exponential,123,50,37,56,94,124,50,7,buy
exponential,721,200,9,9,599,722,10,3,exchange
exponential,215,50,19,48,184,216,30,11,buy
exponential,124,50,33,67,92,125,50,8,exchange
uniform,113,100,0,71,60,114,50,3,exchange
exponential,334,20,17,60,321,335,50,50,buy
exponential,334,50,14,17,299,335,30,18,buy
exponential,123,50,37,56,94,124,50,7,buy
uniform,114,100,37,56,63,115,50,4,exchange
uniform,113,100,0,71,60,114,50,3,exchange
