time,sheets,id,friends,surplus,agents,full_agents,stage
43,30,0,9,26,10,3,exchange
65,30,5,14,42,10,4,buy
66,30,7,5,50,10,6,exchange
69,30,1,10,49,10,7,buy
84,30,8,9,65,10,8,buy
107,30,4,14,82,10,9,buy
143,30,9,2,119,10,10,buy
34,30,1,19,17,17,1,exchange
35,30,0,18,18,17,2,exchange
38,30,2,22,25,17,3,buy
39,30,12,18,23,17,7,exchange
40,30,7,19,20,17,8,exchange
43,30,13,15,23,17,10,exchange
44,30,6,14,25,17,11,buy
45,30,16,7,27,17,12,buy
50,30,14,19,32,17,13,buy
59,30,15,16,40,17,14,buy
73,30,8,13,57,17,15,buy
87,30,10,7,69,17,16,buy
98,30,3,24,80,17,17,buy
32,30,0,28,17,20,1,exchange
35,30,11,27,19,20,2,buy
36,30,15,20,15,20,4,exchange
38,30,4,24,22,20,5,buy
39,30,14,11,23,20,7,exchange
44,30,3,30,28,20,8,buy
46,30,13,23,32,20,12,exchange
50,30,7,13,35,20,13,buy
53,30,16,7,30,20,14,buy
54,30,17,13,37,20,17,exchange
78,30,12,17,61,20,19,exchange
127,30,10,16,109,20,20,buy
31,30,19,13,11,23,2,exchange
32,30,8,31,15,23,4,exchange
35,30,6,10,20,23,6,exchange
36,30,14,27,21,23,8,exchange
39,30,15,25,22,23,9,exchange
40,30,20,31,26,23,11,exchange
41,30,18,24,24,23,14,exchange
43,30,3,11,24,23,15,buy
44,30,17,20,27,23,16,buy
52,30,21,14,35,23,18,exchange
56,30,0,23,41,23,19,buy
82,30,9,19,67,23,21,buy
97,30,22,6,75,23,22,buy
128,30,10,12,110,23,23,buy
27,30,1,33,11,26,1,exchange
30,30,9,32,16,26,2,exchange
32,30,7,19,16,26,3,exchange
33,30,11,28,20,26,6,exchange
34,30,10,18,16,26,8,exchange
35,30,13,32,21,26,11,exchange
37,30,19,39,29,26,12,exchange
38,30,14,23,18,26,13,buy
41,30,3,28,26,26,15,exchange
42,30,24,18,25,26,18,exchange
46,30,20,36,29,26,19,exchange
47,30,23,34,29,26,21,exchange
57,30,18,25,40,26,22,buy
61,30,25,15,41,26,24,exchange
83,30,16,21,67,26,25,buy
115,30,12,11,98,26,26,buy
30,30,9,30,18,30,1,buy
32,30,4,29,19,30,3,exchange
33,30,16,18,15,30,4,exchange
34,30,23,29,17,30,9,exchange
35,30,26,32,22,30,12,exchange
37,30,20,21,21,30,13,exchange
38,30,11,31,20,30,17,exchange
39,30,8,38,20,30,18,exchange
41,30,29,26,22,30,20,exchange
42,30,17,32,27,30,22,exchange
44,30,28,39,28,30,24,exchange
46,30,12,14,28,30,25,buy
49,30,15,18,31,30,26,buy
59,30,13,20,39,30,27,buy
64,30,24,21,42,30,28,buy
117,30,19,21,102,30,29,buy
126,30,5,14,111,30,30,buy
55,37,0,9,29,7,1,exchange
59,37,6,3,32,7,2,buy
62,37,3,12,36,7,3,buy
73,37,1,5,47,7,4,exchange
98,37,2,7,67,7,5,buy
131,37,5,6,104,7,6,buy
202,37,4,2,170,7,7,buy
42,37,0,9,19,10,1,exchange
50,37,3,10,30,10,2,exchange
68,37,2,11,49,10,4,exchange
78,37,6,6,55,10,5,buy
79,37,8,9,54,10,6,buy
100,37,9,2,72,10,7,buy
109,37,4,14,84,10,8,buy
131,37,7,5,102,10,9,buy
