distribution,time,sheets,id,friends,surplus,agents,full_agents,stage
exponential,1330,100,26,20,1280,30,29,buy
uniform,527,400,16,29,322,30,2,exchange
uniform,530,400,15,30,323,30,3,exchange
exponential,2987,400,7,9,2748,10,7,buy
exponential,3074,400,6,1,2766,10,8,buy
exponential,3148,400,1,12,2938,10,9,buy
exponential,756,200,19,48,650,30,5,exchange
uniform,550,400,10,41,365,30,4,exchange
uniform,552,400,27,35,357,30,5,exchange
exponential,1515,100,2,15,1460,30,30,buy
uniform,562,400,7,30,370,30,6,exchange
uniform,565,400,3,41,353,30,7,exchange
exponential,2682,400,3,7,2444,10,3,buy
uniform,1682,700,3,7,1276,10,3,exchange
exponential,2686,400,0,9,2467,10,4,buy
uniform,580,400,19,48,381,30,8,buy
exponential,8936,700,4,0,8237,5,2,buy
uniform,585,400,5,26,394,30,9,exchange
uniform,588,400,1,23,384,30,10,exchange
exponential,811,200,7,30,718,30,6,buy
uniform,1716,700,9,9,1299,10,4,exchange
exponential,2812,400,2,8,2585,10,5,exchange
exponential,826,200,8,39,722,30,7,buy
exponential,2822,400,7,9,2599,10,6,exchange
uniform,1735,700,2,8,1337,10,5,buy
uniform,602,400,11,28,394,30,11,exchange
exponential,836,200,28,28,733,30,9,exchange
uniform,927,700,1,24,573,20,1,exchange
uniform,1783,700,0,9,1404,10,6,exchange
exponential,223,100,1,24,182,20,1,exchange
uniform,623,400,0,30,421,30,12,exchange
exponential,863,200,11,28,756,30,10,exchange
uniform,960,700,0,26,608,20,2,exchange
exponential,10173,700,2,0,9474,5,3,buy
exponential,298,100,18,22,237,20,2,buy
uniform,664,400,17,37,457,30,13,exchange
exponential,322,100,8,22,268,20,3,exchange
uniform,991,700,14,21,626,20,3,exchange
exponential,340,100,5,25,285,20,4,exchange
uniform,684,400,28,28,485,30,14,exchange
exponential,366,100,13,23,307,20,5,buy
exponential,401,100,14,21,344,20,6,buy
exponential,422,100,7,17,370,20,7,exchange
exponential,436,100,4,6,376,20,8,exchange
uniform,717,400,4,28,523,30,15,exchange
exponential,979,200,29,14,868,30,11,buy
exponential,11535,700,0,8,10836,5,4,buy
exponential,464,100,19,13,397,20,9,buy
