,time,radio,reward,power
45,45,3.5286480834334166,1.0,20
46,46,3.2631410379682437,1.0,20
47,47,3.337629293345214,1.0,34
48,48,3.3246574638236344,1.0,23
49,49,3.3675557359471098,1.0,22
0,0,0.5482517344388081,1.0,27
1,1,0.9334558153944463,1.0,11
2,2,1.3585898890683614,1.0,13
3,3,1.770545340720652,0.0,12
4,4,1.905766714792163,1.0,20
5,5,2.2628339499829226,1.0,21
6,6,2.1000618016187595,1.0,17
7,7,2.5827435209879375,1.0,23
8,8,2.6084924021879003,1.0,16
9,9,2.3323980784364,1.0,11
10,10,2.171984256236881,0.0,13
11,11,2.4611361231552653,1.0,17
12,12,2.30749820434552,1.0,14
13,13,2.616270742447828,1.0,27
14,14,2.6387539407869816,1.0,16
15,15,3.077693548698739,0.0,16
16,16,2.934748657806688,0.0,20
17,17,2.793752448254059,1.0,14
18,18,3.029241715485234,1.0,11
19,19,3.018988799285027,1.0,32
20,20,3.088454277787994,1.0,22
21,21,2.888018992116529,1.0,14
22,22,3.2155983957606384,1.0,26
23,23,3.12955194501893,1.0,27
24,24,2.9665014251120194,1.0,24
25,25,3.168153337685541,1.0,33
26,26,3.318586998689918,1.0,26
27,27,3.012765173749081,1.0,31
28,28,2.9752224348612897,1.0,34
29,29,2.8895253696389975,1.0,36
30,30,2.719624629465006,1.0,40
31,31,2.6980450875832758,0.0,31
32,32,2.9671186586920806,0.0,27
33,33,2.9684433975882056,1.0,36
34,34,3.19804276164979,1.0,32
35,35,3.1590288425928943,1.0,25
36,36,2.9204283155542035,1.0,33
37,37,3.102864074707972,1.0,34
38,38,3.092975572741851,1.0,29
39,39,2.9784099084076323,1.0,30
40,40,3.151146647714218,1.0,24
41,41,3.516397065549475,1.0,21
42,42,3.5717062309489194,1.0,17
43,43,3.427595550322373,1.0,20
44,44,3.2617362482717374,1.0,16
45,45,3.525137122912061,1.0,16
46,46,3.704275035294528,1.0,16
47,47,3.315167802999949,1.0,28
48,48,3.7153166902826333,1.0,14
49,49,3.7377113584214885,1.0,20
0,0,0.49675797509033087,1.0,12
1,1,0.9465907243619335,1.0,11
2,2,0.9708929706292453,0.0,17
3,3,1.6177062440484313,0.0,11
4,4,1.8073198888611508,0.0,15
5,5,1.7770099866675975,1.0,18
6,6,2.097078178615231,1.0,13
7,7,2.045840368602269,1.0,43
8,8,1.9905567880804524,1.0,15
9,9,2.306063865485545,1.0,14
10,10,1.9964863038494396,1.0,29
11,11,1.946327224190009,1.0,22
12,12,1.9659640801697373,1.0,20
13,13,2.072849233201017,1.0,21
14,14,2.2164178975243694,1.0,24
15,15,2.4871917929899734,1.0,18
16,16,2.4864577705706727,1.0,14
17,17,2.7092914002698443,1.0,11
18,18,2.8859174673991506,1.0,11
19,19,2.688130739730785,1.0,11
20,20,2.7404914597569423,1.0,12
21,21,2.791501696072459,1.0,11
22,22,3.0722679300228948,1.0,11
23,23,2.747878860845602,1.0,11
24,24,3.0355249673770257,1.0,11
25,25,2.9283640162868543,1.0,11
26,26,3.0209739848347765,1.0,11
27,27,2.744889529979485,1.0,12
28,28,3.0419346668636162,0.0,11
29,29,2.898309683066456,1.0,27
30,30,3.0968300290625224,0.0,21
31,31,2.895794946546026,1.0,17
32,32,2.8628959408122983,1.0,32
33,33,2.698286890485848,1.0,30
34,34,2.5952754213384863,0.0,33
35,35,2.70196477444335,1.0,31
36,36,2.8681105913338887,1.0,35
37,37,2.792046831343251,1.0,33
38,38,2.949633262592364,1.0,34
39,39,2.865941548782537,1.0,31
40,40,3.1304602854419055,1.0,35
41,41,3.0530194330653706,1.0,31
42,42,2.7687031261566863,1.0,28
43,43,2.7006736180511894,1.0,31
44,44,2.87466210148639,1.0,27
45,45,2.9364564024497413,1.0,27
46,46,2.720767708336959,0.0,28
47,47,2.8178731762661364,1.0,39
48,48,2.780181408596452,1.0,27
49,49,2.6459078016521635,1.0,25
