,time,radio,reward,distance,power
13,13,2.5660686277576508,0.0,2.490380327816031,26
14,14,2.7171771025141775,1.0,2.082888760890394,19
15,15,2.7002023560057857,1.0,2.298267335238833,23
16,16,2.5698372667454117,0.0,1.8715805002104944,22
17,17,2.4866276448201505,1.0,1.243438673156514,15
18,18,2.6266850956478427,1.0,1.3376177123894373,14
19,19,2.710017591880155,1.0,1.409240434514277,15
20,20,3.1226161665107686,1.0,0.9411633935176144,11
21,21,3.146564606155829,1.0,0.5896817457019873,11
22,22,3.0855008208248633,0.0,1.3775991011890445,11
23,23,3.332680731693642,1.0,1.3692756785146134,11
24,24,3.5980278002434036,1.0,1.4737583468498614,17
25,25,3.170069404165234,1.0,1.0332861471458827,14
26,26,2.932269012732322,1.0,1.4323753495715081,31
27,27,2.7895564015616183,1.0,1.404086483222086,15
28,28,2.731049578358099,1.0,1.2814340319771302,14
29,29,3.07924806271827,1.0,1.5505767054364263,13
